team_id;fifa_version;team_name;league_name;league_level;nationality_id;nationality_name;coach_id;home_stadium;international_prestige
74;23;Rennes;Ligue 1;1;18;France;523953;Stade Municipal;5
76;23;Strasbourg;Ligue 1;1;18;France;527346;Stade Municipal;2
77;23;Aberdeen;Premiership;1;42;Scotland;1621;Ivy Lane;2
78;23;Celtic;Premiership;1;42;Scotland;896805;Eastpoint Arena (Football Ground);5
80;23;Hearts;Premiership;1;42;Scotland;5097;Ivy Lane;3
81;23;Hibernian;Premiership;1;42;Scotland;1600;Ivy Lane;2
82;23;Kilmarnock;Premiership;1;42;Scotland;896462;Ivy Lane;1
83;23;Motherwell;Premiership;1;42;Scotland;171878;Ivy Lane;1
86;23;Rangers;Premiership;1;42;Scotland;23237;Eastpoint Arena (Football Ground);5
88;23;Birmingham City;Championship;2;14;England;2146;Ivy Lane;1
89;23;Charlton Athletic;League One;3;14;England;37386304;Forest Park Stadium (Square Ground);1
91;23;Derby County;League One;3;14;England;3311;Molton Road (Sheldon Stadium);1
92;23;Grimsby Town;League Two;4;14;England;17867632;Town Park;1
94;23;Ipswich Town;Championship;3;14;England;37524146;Ivy Lane;1
95;23;Leicester City;Championship;1;14;England;896460;King Power Stadium;6
97;23;Millwall;Championship;2;14;England;455453;Ivy Lane;1
106;23;Sunderland;Championship;2;14;England;455344;Stadium of Light;2
109;23;West Bromwich Albion;Championship;2;14;England;37453069;The Hawthorns;1
110;23;Wolverhampton Wanderers;Premier League;1;14;England;1198;Molineux Stadium;4
121;23;Crewe Alexandra;League Two;4;14;England;37629634;Court Lane;1
127;23;Shrewsbury Town;League One;3;14;England;5332015;Court Lane;1
142;23;Doncaster Rovers;League Two;4;14;England;607;Molton Road (Sheldon Stadium);1
143;23;Exeter City;League One;3;14;England;10629;Town Park;1
144;23;Fulham;Premier League;1;14;England;455424;Craven Cottage;1
149;23;Lincoln City;League One;3;14;England;2198;Crown Lane;1
159;23;DSC Arminia Bielefeld;3. Liga;2;21;Germany;37575668;SchücoArena;1
160;23;VfL Bochum 1848;Bundesliga;1;21;Germany;526236;Stadion Neder;1
165;23;SpVgg Greuther Fürth;2. Bundesliga;2;21;Germany;197165;Court Lane;1
166;23;Hertha BSC;2. Bundesliga;1;21;Germany;458610;Olympiastadion;4
169;23;FSV Mainz 05;Bundesliga;1;21;Germany;29535;Opel Arena;2
171;23;Nürnberg;2. Bundesliga;2;21;Germany;523936;Max-Morlock-Stadion;1
175;23;VfL Wolfsburg;Bundesliga;1;21;Germany;524537;Volkswagen Arena;5
181;23;Dundee United;Premiership;1;42;Scotland;171828;Court Lane;2
189;23;Bologna;Serie A;1;27;Italy;95726;Euro Arena;2
190;23;Brescia;Serie B;2;27;Italy;1452340;Stadio Classico;1
191;23;Salzburg;Bundesliga;1;4;Austria;30314;Waldstadion (Fussballstadion);6
199;23;Perugia;Serie B;2;27;Italy;468798;Stadio Classico;1
203;23;Reggina;Serie B;2;27;Italy;127495;Stadio Classico;1
205;23;Venezia;Serie B;2;27;Italy;16827150;Town Park;1
206;23;Hellas Verona;Serie A;1;27;Italy;22877956;Sanderson Park (FIFA 13 NEW generic);1
209;23;Sturm Graz;Bundesliga;1;4;Austria;1452203;Stadion Neder;4
210;23;Caen;Ligue 2;2;18;France;456153;Stade Municipal;1
211;23;Dinamo Zagreb;1. HNL;1;10;Croatia;474483;Euro Arena;5
217;23;Lorient;Ligue 1;1;18;France;529482;Molton Road (Sheldon Stadium);1
219;23;Olympique de Marseille;Ligue 1;1;18;France;407845;Orange Vélodrome;6
224;23;Nîmes;Ligue 2;2;18;France;464864;Town Park;1
